feed_product_type,item_sku,brand_name,item_name,external_product_id,external_product_id_type,item_type,outer_material_type1,outer_material_type2,outer_material_type3,outer_material_type4,outer_material_type5,color_name,color_map,size_name,size_map,is_adult_product,material_composition1,material_composition2,material_composition3,material_composition4,material_composition5,material_composition6,material_composition7,material_composition8,material_composition9,material_composition10,department_name,standard_price,quantity,merchant_shipping_group_name,main_image_url,other_image_url1,other_image_url2,other_image_url3,parent_child,parent_sku,relationship_type,variation_theme,update_delete,product_description,closure_type,model,inner_material_type1,inner_material_type2,inner_material_type3,inner_material_type4,inner_material_type5,part_number,manufacturer,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords1,generic_keywords2,generic_keywords3,generic_keywords4,generic_keywords5,fit_type,material_type,website_shipping_weight,website_shipping_weight_unit_of_measure,item_length,item_width,item_height,item_dimensions_unit_of_measure,fulfillment_center_id,package_height,package_width,package_length,package_weight,package_weight_unit_of_measure,package_dimensions_unit_of_measure,cpsia_cautionary_statement,cpsia_cautionary_description,fabric_type,import_designation,item_weight_unit_of_measure,item_weight,country_of_origin,batteries_required,are_batteries_included,battery_cell_composition,battery_type1,battery_type2,battery_type3,number_of_batteries1,number_of_batteries2,number_of_batteries3,battery_weight,battery_weight_unit_of_measure,number_of_lithium_metal_cells,number_of_lithium_ion_cells,lithium_battery_packaging,lithium_battery_energy_content,lithium_battery_energy_content_unit_of_measure,lithium_battery_weight,lithium_battery_weight_unit_of_measure,supplier_declared_dg_hz_regulation1,supplier_declared_dg_hz_regulation2,supplier_declared_dg_hz_regulation3,supplier_declared_dg_hz_regulation4,supplier_declared_dg_hz_regulation5,hazmat_united_nations_regulatory_id,safety_data_sheet_url,item_volume,item_volume_unit_of_measure,flash_point,ghs_classification_class1,ghs_classification_class2,ghs_classification_class3,california_proposition_65_compliance_type,california_proposition_65_chemical_names1,california_proposition_65_chemical_names2,california_proposition_65_chemical_names3,california_proposition_65_chemical_names4,california_proposition_65_chemical_names5,list_price,condition_type,condition_note,product_tax_code,fulfillment_latency,product_site_launch_date,merchant_release_date,restock_date,sale_price,sale_from_date,sale_end_date,offering_end_date,max_aggregate_ship_quantity,item_package_quantity,number_of_items,offering_can_be_gift_messaged,offering_can_be_giftwrapped,is_discontinued_by_manufacturer,missing_keyset_reason,max_order_quantity,offering_start_date
suit,G1094,Giovanna Apparel Corp.,Giovanna Collection Women's Mock 3-piece Shawl Collar Brocade Skirt Suit,,UPC,WOMEN SUIT,Polyester,Polyester,Polyester,Polyester,Polyester,,,,,FALSE,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,womens,105,1,Migrated Template,https://dl.dropboxusercontent.com/s/inn3xxcr47obb5v/g1094%20lilac.jpg?dl=0,,https://www.dropbox.com/s/ki9w9lr1f60ndez/Giovanna%20Size%20Chart_Jacket.JPG?dl=0,https://www.dropbox.com/s/lr0wjgl5iesz8aq/Giovanna%20Size%20Chart_Skirt.JPG?dl=0,parent,,,colorsize,Update,"This sophisticated skirt suit offers a shawl collar and pin brooch for a complete look. This lovely suit is available in lilac and white. Made from textured brocade, this jacket features oversized shawl collar, 2 rhinestone button closure and a modesty panel, brooch is complimentary. The straight skirt has side elastic and back zipper closure. Measurements taken from size 10: jacket length from center back = 26"", skirt length = 32"".",,G1094,Polyester,Polyester,Polyester,Polyester,Polyester,G1094,Giovanna Apparel Corp.,Fully Lined ,Work Wear,Mother of the bride,,,church suit,women's suit,wedding suit,skirt suit,career suit,Regular,Polyester,3,LB,,,,,,3,18,21,3,LB,IN,NoWarningApplicable,,,Imported,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.99,New,,,,,,,,,,,,,,,,,,,
suit,G1094-LILAC-10,Giovanna Apparel Corp.,Giovanna Collection Women's Mock 3-piece Shawl Collar Brocade Skirt Suit,843523132854,UPC,WOMEN SUIT,Polyester,Polyester,Polyester,Polyester,Polyester,LILAC,,10,Medium,FALSE,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,womens,105,3,Migrated Template,https://dl.dropboxusercontent.com/s/inn3xxcr47obb5v/g1094%20lilac.jpg?dl=0,-1,https://www.dropbox.com/s/ki9w9lr1f60ndez/Giovanna%20Size%20Chart_Jacket.JPG?dl=0,https://www.dropbox.com/s/lr0wjgl5iesz8aq/Giovanna%20Size%20Chart_Skirt.JPG?dl=0,Child,G1094,Variation,colorsize,Update,"This sophisticated skirt suit offers a shawl collar and pin brooch for a complete look. This lovely suit is available in lilac and white. Made from textured brocade, this jacket features oversized shawl collar, 2 rhinestone button closure and a modesty panel, brooch is complimentary. The straight skirt has side elastic and back zipper closure. Measurements taken from size 10: jacket length from center back = 26"", skirt length = 32"".",,G1094,Polyester,Polyester,Polyester,Polyester,Polyester,G1094,Giovanna Apparel Corp.,Fully Lined ,Work Wear,Mother of the bride,,,church suit,women's suit,wedding suit,skirt suit,career suit,Regular,Polyester,3,LB,21,18,3,IN,DEFAULT,3,18,21,3,LB,IN,NoWarningApplicable,,,Imported,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.99,New,,,,,,,,,,,,,,,,,,,
suit,G1094-LILAC-12,Giovanna Apparel Corp.,Giovanna Collection Women's Mock 3-piece Shawl Collar Brocade Skirt Suit,843523132861,UPC,WOMEN SUIT,Polyester,Polyester,Polyester,Polyester,Polyester,LILAC,,12,Large,FALSE,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,womens,105,3,Migrated Template,https://dl.dropboxusercontent.com/s/inn3xxcr47obb5v/g1094%20lilac.jpg?dl=0,-1,https://www.dropbox.com/s/ki9w9lr1f60ndez/Giovanna%20Size%20Chart_Jacket.JPG?dl=0,https://www.dropbox.com/s/lr0wjgl5iesz8aq/Giovanna%20Size%20Chart_Skirt.JPG?dl=0,Child,G1094,Variation,colorsize,Update,"This sophisticated skirt suit offers a shawl collar and pin brooch for a complete look. This lovely suit is available in lilac and white. Made from textured brocade, this jacket features oversized shawl collar, 2 rhinestone button closure and a modesty panel, brooch is complimentary. The straight skirt has side elastic and back zipper closure. Measurements taken from size 10: jacket length from center back = 26"", skirt length = 32"".",,G1094,Polyester,Polyester,Polyester,Polyester,Polyester,G1094,Giovanna Apparel Corp.,Fully Lined ,Work Wear,Mother of the bride,,,church suit,women's suit,wedding suit,skirt suit,career suit,Regular,Polyester,3,LB,21,18,3,IN,DEFAULT,3,18,21,3,LB,IN,NoWarningApplicable,,,Imported,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.99,New,,,,,,,,,,,,,,,,,,,
suit,G1094-LILAC-14,Giovanna Apparel Corp.,Giovanna Collection Women's Mock 3-piece Shawl Collar Brocade Skirt Suit,843523132878,UPC,WOMEN SUIT,Polyester,Polyester,Polyester,Polyester,Polyester,LILAC,,14,Large,FALSE,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,womens,105,3,Migrated Template,https://dl.dropboxusercontent.com/s/inn3xxcr47obb5v/g1094%20lilac.jpg?dl=0,-1,https://www.dropbox.com/s/ki9w9lr1f60ndez/Giovanna%20Size%20Chart_Jacket.JPG?dl=0,https://www.dropbox.com/s/lr0wjgl5iesz8aq/Giovanna%20Size%20Chart_Skirt.JPG?dl=0,Child,G1094,Variation,colorsize,Update,"This sophisticated skirt suit offers a shawl collar and pin brooch for a complete look. This lovely suit is available in lilac and white. Made from textured brocade, this jacket features oversized shawl collar, 2 rhinestone button closure and a modesty panel, brooch is complimentary. The straight skirt has side elastic and back zipper closure. Measurements taken from size 10: jacket length from center back = 26"", skirt length = 32"".",,G1094,Polyester,Polyester,Polyester,Polyester,Polyester,G1094,Giovanna Apparel Corp.,Fully Lined ,Work Wear,Mother of the bride,,,church suit,women's suit,wedding suit,skirt suit,career suit,Regular,Polyester,3,LB,21,18,3,IN,DEFAULT,3,18,21,3,LB,IN,NoWarningApplicable,,,Imported,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.99,New,,,,,,,,,,,,,,,,,,,
suit,G1094-LILAC-16,Giovanna Apparel Corp.,Giovanna Collection Women's Mock 3-piece Shawl Collar Brocade Skirt Suit,843523132885,UPC,WOMEN SUIT,Polyester,Polyester,Polyester,Polyester,Polyester,LILAC,,16,X-large,FALSE,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,womens,105,3,Migrated Template,https://dl.dropboxusercontent.com/s/inn3xxcr47obb5v/g1094%20lilac.jpg?dl=0,-1,https://www.dropbox.com/s/ki9w9lr1f60ndez/Giovanna%20Size%20Chart_Jacket.JPG?dl=0,https://www.dropbox.com/s/lr0wjgl5iesz8aq/Giovanna%20Size%20Chart_Skirt.JPG?dl=0,Child,G1094,Variation,colorsize,Update,"This sophisticated skirt suit offers a shawl collar and pin brooch for a complete look. This lovely suit is available in lilac and white. Made from textured brocade, this jacket features oversized shawl collar, 2 rhinestone button closure and a modesty panel, brooch is complimentary. The straight skirt has side elastic and back zipper closure. Measurements taken from size 10: jacket length from center back = 26"", skirt length = 32"".",,G1094,Polyester,Polyester,Polyester,Polyester,Polyester,G1094,Giovanna Apparel Corp.,Fully Lined ,Work Wear,Mother of the bride,,,church suit,women's suit,wedding suit,skirt suit,career suit,Regular,Polyester,3,LB,21,18,3,IN,DEFAULT,3,18,21,3,LB,IN,NoWarningApplicable,,,Imported,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.99,New,,,,,,,,,,,,,,,,,,,
suit,G1094-LILAC-18,Giovanna Apparel Corp.,Giovanna Collection Women's Mock 3-piece Shawl Collar Brocade Skirt Suit,843523132892,UPC,WOMEN SUIT,Polyester,Polyester,Polyester,Polyester,Polyester,LILAC,,18,X-large,FALSE,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,womens,105,3,Migrated Template,https://dl.dropboxusercontent.com/s/inn3xxcr47obb5v/g1094%20lilac.jpg?dl=0,-1,https://www.dropbox.com/s/ki9w9lr1f60ndez/Giovanna%20Size%20Chart_Jacket.JPG?dl=0,https://www.dropbox.com/s/lr0wjgl5iesz8aq/Giovanna%20Size%20Chart_Skirt.JPG?dl=0,Child,G1094,Variation,colorsize,Update,"This sophisticated skirt suit offers a shawl collar and pin brooch for a complete look. This lovely suit is available in lilac and white. Made from textured brocade, this jacket features oversized shawl collar, 2 rhinestone button closure and a modesty panel, brooch is complimentary. The straight skirt has side elastic and back zipper closure. Measurements taken from size 10: jacket length from center back = 26"", skirt length = 32"".",,G1094,Polyester,Polyester,Polyester,Polyester,Polyester,G1094,Giovanna Apparel Corp.,Fully Lined ,Work Wear,Mother of the bride,,,church suit,women's suit,wedding suit,skirt suit,career suit,Regular,Polyester,3,LB,21,18,3,IN,DEFAULT,3,18,21,3,LB,IN,NoWarningApplicable,,,Imported,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.99,New,,,,,,,,,,,,,,,,,,,
suit,G1094-WHT-8,Giovanna Apparel Corp.,Giovanna Collection Women's Mock 3-piece Shawl Collar Brocade Skirt Suit,843523132717,UPC,WOMEN SUIT,Polyester,Polyester,Polyester,Polyester,Polyester,WHITE,,8,Medium,FALSE,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,womens,105,2,Migrated Template,https://dl.dropboxusercontent.com/s/7y66nj8jyo1xcuw/g1094%20white.jpg?dl=0,-1,https://www.dropbox.com/s/ki9w9lr1f60ndez/Giovanna%20Size%20Chart_Jacket.JPG?dl=0,https://www.dropbox.com/s/lr0wjgl5iesz8aq/Giovanna%20Size%20Chart_Skirt.JPG?dl=0,Child,G1094,Variation,colorsize,Update,"This sophisticated skirt suit offers a shawl collar and pin brooch for a complete look. This lovely suit is available in lilac and white. Made from textured brocade, this jacket features oversized shawl collar, 2 rhinestone button closure and a modesty panel, brooch is complimentary. The straight skirt has side elastic and back zipper closure. Measurements taken from size 10: jacket length from center back = 26"", skirt length = 32"".",,G1094,Polyester,Polyester,Polyester,Polyester,Polyester,G1094,Giovanna Apparel Corp.,Fully Lined ,Work Wear,Mother of the bride,,,church suit,women's suit,wedding suit,skirt suit,career suit,Regular,Polyester,3,LB,21,18,3,IN,DEFAULT,3,18,21,3,LB,IN,NoWarningApplicable,,,Imported,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.99,New,,,,,,,,,,,,,,,,,,,
suit,G1094-WHT-10,Giovanna Apparel Corp.,Giovanna Collection Women's Mock 3-piece Shawl Collar Brocade Skirt Suit,843523132724,UPC,WOMEN SUIT,Polyester,Polyester,Polyester,Polyester,Polyester,WHITE,,10,Medium,FALSE,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,womens,105,3,Migrated Template,https://dl.dropboxusercontent.com/s/7y66nj8jyo1xcuw/g1094%20white.jpg?dl=0,-1,https://www.dropbox.com/s/ki9w9lr1f60ndez/Giovanna%20Size%20Chart_Jacket.JPG?dl=0,https://www.dropbox.com/s/lr0wjgl5iesz8aq/Giovanna%20Size%20Chart_Skirt.JPG?dl=0,Child,G1094,Variation,colorsize,Update,"This sophisticated skirt suit offers a shawl collar and pin brooch for a complete look. This lovely suit is available in lilac and white. Made from textured brocade, this jacket features oversized shawl collar, 2 rhinestone button closure and a modesty panel, brooch is complimentary. The straight skirt has side elastic and back zipper closure. Measurements taken from size 10: jacket length from center back = 26"", skirt length = 32"".",,G1094,Polyester,Polyester,Polyester,Polyester,Polyester,G1094,Giovanna Apparel Corp.,Fully Lined ,Work Wear,Mother of the bride,,,church suit,women's suit,wedding suit,skirt suit,career suit,Regular,Polyester,3,LB,21,18,3,IN,DEFAULT,3,18,21,3,LB,IN,NoWarningApplicable,,,Imported,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.99,New,,,,,,,,,,,,,,,,,,,
suit,G1094-WHT-12,Giovanna Apparel Corp.,Giovanna Collection Women's Mock 3-piece Shawl Collar Brocade Skirt Suit,843523132731,UPC,WOMEN SUIT,Polyester,Polyester,Polyester,Polyester,Polyester,WHITE,,12,Large,FALSE,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,womens,105,3,Migrated Template,https://dl.dropboxusercontent.com/s/7y66nj8jyo1xcuw/g1094%20white.jpg?dl=0,-1,https://www.dropbox.com/s/ki9w9lr1f60ndez/Giovanna%20Size%20Chart_Jacket.JPG?dl=0,https://www.dropbox.com/s/lr0wjgl5iesz8aq/Giovanna%20Size%20Chart_Skirt.JPG?dl=0,Child,G1094,Variation,colorsize,Update,"This sophisticated skirt suit offers a shawl collar and pin brooch for a complete look. This lovely suit is available in lilac and white. Made from textured brocade, this jacket features oversized shawl collar, 2 rhinestone button closure and a modesty panel, brooch is complimentary. The straight skirt has side elastic and back zipper closure. Measurements taken from size 10: jacket length from center back = 26"", skirt length = 32"".",,G1094,Polyester,Polyester,Polyester,Polyester,Polyester,G1094,Giovanna Apparel Corp.,Fully Lined ,Work Wear,Mother of the bride,,,church suit,women's suit,wedding suit,skirt suit,career suit,Regular,Polyester,3,LB,21,18,3,IN,DEFAULT,3,18,21,3,LB,IN,NoWarningApplicable,,,Imported,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.99,New,,,,,,,,,,,,,,,,,,,
suit,G1094-WHT-14,Giovanna Apparel Corp.,Giovanna Collection Women's Mock 3-piece Shawl Collar Brocade Skirt Suit,843523132748,UPC,WOMEN SUIT,Polyester,Polyester,Polyester,Polyester,Polyester,WHITE,,14,Large,FALSE,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,100% Polyester,womens,105,3,Migrated Template,https://dl.dropboxusercontent.com/s/7y66nj8jyo1xcuw/g1094%20white.jpg?dl=0,-1,https://www.dropbox.com/s/ki9w9lr1f60ndez/Giovanna%20Size%20Chart_Jacket.JPG?dl=0,https://www.dropbox.com/s/lr0wjgl5iesz8aq/Giovanna%20Size%20Chart_Skirt.JPG?dl=0,Child,G1094,Variation,colorsize,Update,"This sophisticated skirt suit offers a shawl collar and pin brooch for a complete look. This lovely suit is available in lilac and white. Made from textured brocade, this jacket features oversized shawl collar, 2 rhinestone button closure and a modesty panel, brooch is complimentary. The straight skirt has side elastic and back zipper closure. Measurements taken from size 10: jacket length from center back = 26"", skirt length = 32"".",,G1094,Polyester,Polyester,Polyester,Polyester,Polyester,G1094,Giovanna Apparel Corp.,Fully Lined ,Work Wear,Mother of the bride,,,church suit,women's suit,wedding suit,skirt suit,career suit,Regular,Polyester,3,LB,21,18,3,IN,DEFAULT,3,18,21,3,LB,IN,NoWarningApplicable,,,Imported,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.99,New,,,,,,,,,,,,,,,,,,,
