Style,Supplier SKU,UPC,Title,Description,Size,Color,URL
#0650,0650-BLK #1869-12,,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",12,BLK #1869,
#0650,0650-BLK #1869-14,,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",14,BLK #1869,
#0650,0650-BLK #1869-16,,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",16,BLK #1869,
#0650,0650-BLK #1869-18,,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",18,BLK #1869,
#0650,0650-CHOCO-6,,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",6,CHOCO,
#0650,0650-CHOCO-8,#0,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",8,CHOCO,
#0650,0650-CHOCO-10,#0,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",10,CHOCO,
#0650,0650-CHOCO-12,#0,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",12,CHOCO,
#0650,0650-CHOCO-14,#0,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",14,CHOCO,
#0650,0650-CHOCO-16,#0,Giovanna Signature Women's Rhinestone Brooch 3-piece Skirt Suit,"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.Click here to view the Giovanna Signature Collection's sizing guideColor options: Fuchsia, black, royal, silver, and whiteFit: MissyPrint: SolidCamisole sleeves: SleevelessJacket sleeves: LongWaist details: Side elastic waistbandNeckline: Round necklineLining: Fully linedSkirt closure: Back zipper with button closureJacket closure: Rhinestone brooch closureJacket features: Collarless, fully linedShell materials: 100-percent polyesterLining materials: 100-percent polyesterMachine washableModel: 0650The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.Measurement GuideAll measurements are approximate and may vary by size.",16,CHOCO,
